# Course FFC: arenberg
# Saison: cx-25-26
# Date: 2025-11-11
# Nombre total de résultats: 157
coureur,position,nb_participants,categorie,date_course
MOLMY AXEL,1,33,U15,2025-11-11
DELY MAËL,2,33,U15,2025-11-11
DETRE LYSANDRE,3,33,U15,2025-11-11
CAILLEAU MATTÉO,4,33,U15,2025-11-11
TETU CLÉMENT,5,33,U15,2025-11-11
LECLERCQ ADAM,6,33,U15,2025-11-11
CANIPEL CHARLES,7,33,U15,2025-11-11
VIEQUE TOM,8,33,U15,2025-11-11
DEBARALLE BAPTISTE,9,33,U15,2025-11-11
DELBECQUE GASTON,10,33,U15,2025-11-11
VANACKER MARIUS,11,33,U15,2025-11-11
VAN GHELUWE SACHA,12,33,U15,2025-11-11
GRESSIER AXEL,13,33,U15,2025-11-11
DETAVERNIER MAXENCE,14,33,U15,2025-11-11
COMETTI LOUIS,15,33,U15,2025-11-11
VAN FRIEL THOMAS,16,33,U15,2025-11-11
DASSONVILLE LÉONTINE,17,33,U15,2025-11-11
MANTEAU CALLEMEYN MAËLINE,18,33,U15,2025-11-11
PLUVINAGE ANTONIN,19,33,U15,2025-11-11
SYMOND OCTAVE,20,33,U15,2025-11-11
PAGE DUBUS RAPHAËL,21,33,U15,2025-11-11
BECQUART LOUIS,22,33,U15,2025-11-11
MORIEUX BAPTISTE,23,33,U15,2025-11-11
DAUMERIES MAËLYS,24,33,U15,2025-11-11
DUPONT OCTAVIE,25,33,U15,2025-11-11
AURY VALLET LOANN,26,33,U15,2025-11-11
WYPELIER VICTOR,27,33,U15,2025-11-11
CAMPOVERDE GAUTHIER,28,33,U15,2025-11-11
POTTIEZ ARTHUR,29,33,U15,2025-11-11
BLANCHET LUCA,30,33,U15,2025-11-11
MUI EMILE JACK,31,33,U15,2025-11-11
CONDETTE NATHAN,32,33,U15,2025-11-11
POTTIER MILAN,33,33,U15,2025-11-11
LEFRANCQ LUDOVIC,1,19,Classement général individuel (épreuve de 1 jour),2025-11-11
BUGNICOURT CYRIL,2,19,Classement général individuel (épreuve de 1 jour),2025-11-11
BAJOREK MICHEL,3,19,Classement général individuel (épreuve de 1 jour),2025-11-11
HERFEUIL ANTHONY,4,19,Classement général individuel (épreuve de 1 jour),2025-11-11
THIERY SÉBASTIEN,5,19,Classement général individuel (épreuve de 1 jour),2025-11-11
TAVERNIER CHRISTOPHE,6,19,Classement général individuel (épreuve de 1 jour),2025-11-11
GOBAILLE FRANÇOIS,7,19,Classement général individuel (épreuve de 1 jour),2025-11-11
CHALAS JEAN PIERRE,8,19,Classement général individuel (épreuve de 1 jour),2025-11-11
CAULIER NICOLAS,9,19,Classement général individuel (épreuve de 1 jour),2025-11-11
VANDERMEIREN MANUEL,10,19,Classement général individuel (épreuve de 1 jour),2025-11-11
LECLERCQ DAVID,11,19,Classement général individuel (épreuve de 1 jour),2025-11-11
CARRIÈRE FLORENT,12,19,Classement général individuel (épreuve de 1 jour),2025-11-11
ROSITANO YOHAN,13,19,Classement général individuel (épreuve de 1 jour),2025-11-11
DAGHELET THOMAS,14,19,Classement général individuel (épreuve de 1 jour),2025-11-11
LIAL DENIS,15,19,Classement général individuel (épreuve de 1 jour),2025-11-11
HAVART S.,16,19,Classement général individuel (épreuve de 1 jour),2025-11-11
DEHONGHER MATTHIEU,17,19,Classement général individuel (épreuve de 1 jour),2025-11-11
BAUW EDOUARD,18,19,Classement général individuel (épreuve de 1 jour),2025-11-11
BAUCHART NICOLAS,19,19,Classement général individuel (épreuve de 1 jour),2025-11-11
JOT MATÉO,1,34,Classement général individuel (épreuve de 1 jour),2025-11-11
DUBAU LUCAS,2,34,Classement général individuel (épreuve de 1 jour),2025-11-11
ANANIE UGO,3,34,Classement général individuel (épreuve de 1 jour),2025-11-11
JOT HUGO,4,34,Classement général individuel (épreuve de 1 jour),2025-11-11
VILLAR THIERY AUBIN,5,34,Classement général individuel (épreuve de 1 jour),2025-11-11
LOETE HIPPOLYTE,6,34,Classement général individuel (épreuve de 1 jour),2025-11-11
ROELANDT KENNY,7,34,Classement général individuel (épreuve de 1 jour),2025-11-11
SALOMEZ YDRIS,8,34,Classement général individuel (épreuve de 1 jour),2025-11-11
BONNAY LUCAS,9,34,Classement général individuel (épreuve de 1 jour),2025-11-11
BLANPAIN KÉVIN,10,34,Classement général individuel (épreuve de 1 jour),2025-11-11
DAIRE ALEXANDRE,11,34,Classement général individuel (épreuve de 1 jour),2025-11-11
LEGILLON EMILIEN,12,34,Classement général individuel (épreuve de 1 jour),2025-11-11
CARESMEL ALEXIS,13,34,Classement général individuel (épreuve de 1 jour),2025-11-11
DEMEYER GUILLIAN,14,34,Classement général individuel (épreuve de 1 jour),2025-11-11
FIEVEZ PHILIPPE,15,34,Classement général individuel (épreuve de 1 jour),2025-11-11
CANNOOT LANCE,16,34,Classement général individuel (épreuve de 1 jour),2025-11-11
POUILLARD RAPHAËL,17,34,Classement général individuel (épreuve de 1 jour),2025-11-11
SAMIER GERMAIN,18,34,Classement général individuel (épreuve de 1 jour),2025-11-11
MORDACQ ENZO,19,34,Classement général individuel (épreuve de 1 jour),2025-11-11
POUILLARD LUCAS,20,34,Classement général individuel (épreuve de 1 jour),2025-11-11
BEAUSSART CEDRIC,21,34,Classement général individuel (épreuve de 1 jour),2025-11-11
LEMONNIER FRANÇOIS,22,34,Classement général individuel (épreuve de 1 jour),2025-11-11
DEVIGNE CAMILLE,23,34,Classement général individuel (épreuve de 1 jour),2025-11-11
KRAWCZYK BENJAMIN,24,34,Classement général individuel (épreuve de 1 jour),2025-11-11
EVRARD CLÉMENT,25,34,Classement général individuel (épreuve de 1 jour),2025-11-11
CHARDIN NATHAN,26,34,Classement général individuel (épreuve de 1 jour),2025-11-11
VILLAR THIERY FAUSTINE,27,34,Classement général individuel (épreuve de 1 jour),2025-11-11
DEVIENNE QUENTIN,28,34,Classement général individuel (épreuve de 1 jour),2025-11-11
GENTE THÉO,29,34,Classement général individuel (épreuve de 1 jour),2025-11-11
DEMOL LÉO,30,34,Classement général individuel (épreuve de 1 jour),2025-11-11
ADAM LUCIE,31,34,Classement général individuel (épreuve de 1 jour),2025-11-11
BOUSSEMAER SIMON,32,34,Classement général individuel (épreuve de 1 jour),2025-11-11
SCHMIT DIDIER,33,34,Classement général individuel (épreuve de 1 jour),2025-11-11
AVOINE ALISON,34,34,Classement général individuel (épreuve de 1 jour),2025-11-11
RAEKELBOOM NOÉ,1,12,U19,2025-11-11
ROISSE CLÉMENT,2,12,U19,2025-11-11
REGOST LOUIS,3,12,U19,2025-11-11
BUGNICOURT ELIAS,4,12,U19,2025-11-11
DUC CHARLES,5,12,U19,2025-11-11
DELBECQUE LUCIEN,6,12,U19,2025-11-11
DEFRANCQ MAEL,7,12,U19,2025-11-11
BARTHELEMY LENY,8,12,U19,2025-11-11
BODDAERT GASPARD,9,12,U19,2025-11-11
BRIFFAUX JUSTIN,10,12,U19,2025-11-11
CHALAS LANDAS CYRIAQUE,11,12,U19,2025-11-11
HUYNEN BATISTE,12,12,U19,2025-11-11
TETU MÉLANIE,1,2,DAMES,2025-11-11
WITTEK DASSONVILLE CÉLINE,2,2,DAMES,2025-11-11
