# Course FFC: lievin
# Saison: cx-25-26
# Date: 2025-12-28
# Nombre total de résultats: 122
coureur,position,nb_participants,categorie,date_course
CORDIEZ ROBIN,5,13,U11,2025-12-28
BOCQUET TIMEO,6,13,U11,2025-12-28
OLIVIER THÉO,7,13,U11,2025-12-28
CARON JUSTIN,8,13,U11,2025-12-28
PHILIPPE AUGUSTIN,9,13,U11,2025-12-28
MANTEAU CALLEMEYN SWAN,10,13,U11,2025-12-28
DUMORTIER SIMON,11,13,U11,2025-12-28
POSEZ TIMÉO,12,13,U11,2025-12-28
DUTILLY ANNA,13,13,U11,2025-12-28
DEFRANCQ ETHANN,1,19,U13,2025-12-28
ADRIANSEN BASILE,2,19,U13,2025-12-28
DELTOMBE LUCIEN,3,19,U13,2025-12-28
VIEREN MAXENCE,4,19,U13,2025-12-28
HARBONNIER LEONIE,5,19,U13,2025-12-28
CODDEVILLE CHARLY,6,19,U13,2025-12-28
BAUW LUCAS,7,19,U13,2025-12-28
COEUGNET ARTHUR,8,19,U13,2025-12-28
CHARNET THIBAULT,9,19,U13,2025-12-28
JOURDAIN MARTIN,10,19,U13,2025-12-28
COCHEZ BAPTISTE,11,19,U13,2025-12-28
SAMYN HENRI,12,19,U13,2025-12-28
DELALLEAU NOHAN,13,19,U13,2025-12-28
LAPORTE LOUIS,14,19,U13,2025-12-28
RAFAËL COUSIN,15,19,U13,2025-12-28
VILLEDARY JACQUES,16,19,U13,2025-12-28
COUVREUR ROMAIN,17,19,U13,2025-12-28
MERCHER MORGAN,18,19,U13,2025-12-28
PANGNATHIP ALBAN,19,19,U13,2025-12-28
MOLMY AXEL,1,23,U15,2025-12-28
TETU CLÉMENT,2,23,U15,2025-12-28
FAYOLLE BAPTISTE,3,23,U15,2025-12-28
FAUTRAT TITOUAN,4,23,U15,2025-12-28
CANIPEL CHARLES,5,23,U15,2025-12-28
VANDENKOORNHUYSE CYPRIEN,6,23,U15,2025-12-28
CAVEL LÉANDRE,7,23,U15,2025-12-28
DELBECQUE GASTON,8,23,U15,2025-12-28
COMETTI LOUIS,9,23,U15,2025-12-28
DUTILLY ETHAN,10,23,U15,2025-12-28
DEHENNE SOHAN,11,23,U15,2025-12-28
BECQUET THÉO,12,23,U15,2025-12-28
DASSONVILLE LÉONTINE,13,23,U15,2025-12-28
PLUVINAGE ANTONIN,14,23,U15,2025-12-28
LEJEUNE AXEL,15,23,U15,2025-12-28
VASSEUR FLORIAN,16,23,U15,2025-12-28
CONTRAIN LOHAN,17,23,U15,2025-12-28
MORIEUX BAPTISTE,18,23,U15,2025-12-28
SERGEANT OWEN,19,23,U15,2025-12-28
DUPONT OCTAVIE,20,23,U15,2025-12-28
CONDETTE NATHAN,21,23,U15,2025-12-28
ROUSERE PAULINE,22,23,U15,2025-12-28
MANTEAU CALLEMEYN MAËLINE,23,23,U15,2025-12-28
LEDOUX LOUIS,1,18,U17,2025-12-28
DESGROUSILLIERS JACQUES,2,18,U17,2025-12-28
HIMMESOETE RAPHAËL,3,18,U17,2025-12-28
DECROMBECQUE TOM,4,18,U17,2025-12-28
HOUSET ALEXANDRE,5,18,U17,2025-12-28
LEU ADRIEN,6,18,U17,2025-12-28
DEFRANCQ ROBIN,7,18,U17,2025-12-28
LONZA GASPARD,8,18,U17,2025-12-28
TETU PAULINE,9,18,U17,2025-12-28
FOURNIER NATAN,10,18,U17,2025-12-28
CAVEL JADE,11,18,U17,2025-12-28
CAVEL AMBRE,12,18,U17,2025-12-28
GRZESKIEWICZ ELIE,13,18,U17,2025-12-28
FERNANDEZ LÉO,14,18,U17,2025-12-28
RIGOULET MAX,15,18,U17,2025-12-28
DEKERLE BENJAMIN,16,18,U17,2025-12-28
DESGROUSILLIERS EVA,17,18,U17,2025-12-28
PECOURT NOÉ,18,18,U17,2025-12-28
