# Course FFC: abbeville
# Saison: cx-25-26
# Date: 2025-11-09
# Nombre total de résultats: 102
coureur,position,nb_participants,categorie,date_course
DUC CHARLES,5,9,U19,2025-11-09
BARTHELEMY LENY,6,9,U19,2025-11-09
DEGROÎDE LOUIS,7,9,U19,2025-11-09
BRIDOUX AURÉLIEN,8,9,U19,2025-11-09
DEFRANCQ MAEL,9,9,U19,2025-11-09
DOLLE ELISA,1,4,DAMES,2025-11-09
TETU MÉLANIE,2,4,DAMES,2025-11-09
MACLET EMELINE,3,4,DAMES,2025-11-09
DECROMBECQUE LÉA,4,4,DAMES,2025-11-09
MOLMY AXEL,1,10,U15,2025-11-09
DETRE LYSANDRE,2,10,U15,2025-11-09
VANDENKOORNHUYSE CYPRIEN,3,10,U15,2025-11-09
DENEUX ROSE,4,10,U15,2025-11-09
CAVEL LÉANDRE,5,10,U15,2025-11-09
SALLEMBIEN THEO,6,10,U15,2025-11-09
SEYS ARTHUR,7,10,U15,2025-11-09
COQUET LINO,8,10,U15,2025-11-09
HERMANT MALO,9,10,U15,2025-11-09
PAYEN MAELYS,10,10,U15,2025-11-09
LEDOUX LOUIS,1,20,U17,2025-11-09
USSEGLIO TOM,2,20,U17,2025-11-09
FERNANDEZ LÉO,3,20,U17,2025-11-09
GODIN NATHAN,4,20,U17,2025-11-09
DECROMBECQUE TOM,5,20,U17,2025-11-09
LAURENCEAU EDGAR,6,20,U17,2025-11-09
DE RIEMAECKER TOM,7,20,U17,2025-11-09
DEVOS LOUIS,8,20,U17,2025-11-09
DEFRANCQ ROBIN,9,20,U17,2025-11-09
FRANCLIN ARMAND,10,20,U17,2025-11-09
QUENISSET HUGO,11,20,U17,2025-11-09
FOURNIER NATAN,12,20,U17,2025-11-09
HENDRICK TIMÉO,13,20,U17,2025-11-09
PECOURT NOÉ,14,20,U17,2025-11-09
HULEUX ANTOINE,15,20,U17,2025-11-09
DESGROUSILLIERS EVA,16,20,U17,2025-11-09
CAVEL JADE,17,20,U17,2025-11-09
TETU PAULINE,18,20,U17,2025-11-09
CAVEL AMBRE,19,20,U17,2025-11-09
QUENEHEN ENZO,20,20,U17,2025-11-09
FRANCLIN ELIOTT,1,3,U9,2025-11-09
PHILIPPE HIPPOLYTE,2,3,U9,2025-11-09
HANTUTE AXEL,3,3,U9,2025-11-09
MARIETTE ÉDOUARD,1,7,2ème Tronçon : U11,2025-11-09
CAVEL ARSENE,2,7,2ème Tronçon : U11,2025-11-09
LAUERIERE HUGO,3,7,2ème Tronçon : U11,2025-11-09
NOYELLE HUGO,4,7,2ème Tronçon : U11,2025-11-09
PARTON MARCEAU,5,7,2ème Tronçon : U11,2025-11-09
PHILIPPE AUGUSTIN,6,7,2ème Tronçon : U11,2025-11-09
LEU CLÉMENT,7,7,2ème Tronçon : U11,2025-11-09
LE BESQ ISAAC,1,10,U13,2025-11-09
DEFRANCQ ETHANN,2,10,U13,2025-11-09
DELTOMBE LUCIEN,3,10,U13,2025-11-09
ADRIANSEN BASILE,4,10,U13,2025-11-09
CODDEVILLE CHARLY,5,10,U13,2025-11-09
HARBONNIER LEONIE,6,10,U13,2025-11-09
GUILLOUARD PAUL,7,10,U13,2025-11-09
QUENEHEN HUGO,8,10,U13,2025-11-09
VIEREN MAXENCE,9,10,U13,2025-11-09
DENEUX AMAËL,10,10,U13,2025-11-09
