# Course FFC: quelneuc
# Saison: cx-25-26
# Nombre total de résultats: 330
coureur,position,nb_participants,categorie
CORABOEUF LEA,5,40,ELITE ET U23 FEMMES
DESPREZ LISON,6,40,ELITE ET U23 FEMMES
KLAES LISE,7,40,ELITE ET U23 FEMMES
PORLIER R.,8,40,ELITE ET U23 FEMMES
MOISSONNIER MARIE,9,40,ELITE ET U23 FEMMES
HURTELOUP ADÈLE,10,40,ELITE ET U23 FEMMES
GARNIER NOEMIE,11,40,ELITE ET U23 FEMMES
WEINGARTEN AUDREY,12,40,ELITE ET U23 FEMMES
BONNIN NOEMIE,13,40,ELITE ET U23 FEMMES
RIGAUX ALIZEE,14,40,ELITE ET U23 FEMMES
LAVENS JOHANNA,15,40,ELITE ET U23 FEMMES
ROGER HUGOLINE,16,40,ELITE ET U23 FEMMES
VALADE ALEXANDRA,17,40,ELITE ET U23 FEMMES
TRITZ MATHILDE,18,40,ELITE ET U23 FEMMES
CHESNEAU ROMANE,19,40,ELITE ET U23 FEMMES
LISABOIS LOLA,20,40,ELITE ET U23 FEMMES
ADAM LUCIE,21,40,ELITE ET U23 FEMMES
JOUAULT AMBRE,22,40,ELITE ET U23 FEMMES
MORICEAU CLARISSE,23,40,ELITE ET U23 FEMMES
BRAMOULLE PAULINE,24,40,ELITE ET U23 FEMMES
LE BRAS JUSTINE,25,40,ELITE ET U23 FEMMES
REHM CORALIE,26,40,ELITE ET U23 FEMMES
POTTIER CAMILLE,27,40,ELITE ET U23 FEMMES
LIBOREAU MANON,28,40,ELITE ET U23 FEMMES
FROUARD DIANE,29,40,ELITE ET U23 FEMMES
YANNIC TIFENN,30,40,ELITE ET U23 FEMMES
LECOQ ALIZEA,31,40,ELITE ET U23 FEMMES
GAFFE CASSANDRA,32,40,ELITE ET U23 FEMMES
FAVREAU PAULINE,33,40,ELITE ET U23 FEMMES
REYNIER ROMANE,34,40,ELITE ET U23 FEMMES
VERDIER JULIETTE,35,40,ELITE ET U23 FEMMES
BRAMOULLE MANON,36,40,ELITE ET U23 FEMMES
BONNELLIER CARON ELSA,37,40,ELITE ET U23 FEMMES
LE COUEDIC HENIN NOEMIE,38,40,ELITE ET U23 FEMMES
BERGHEAUD MAËLYS,39,40,ELITE ET U23 FEMMES
MENANT YULIZH,40,40,ELITE ET U23 FEMMES
DAVID ALEXIS,1,81,U23 HOMMES
DEBORD ROMAIN,2,81,U23 HOMMES
SIMON JULES,3,81,U23 HOMMES
LEQUET CORENTIN,4,81,U23 HOMMES
TANGUY LOUIS,5,81,U23 HOMMES
COURCIER THOMAS,6,81,U23 HOMMES
VIVOT ALEXIS,7,81,U23 HOMMES
PAPIN NATHAN,8,81,U23 HOMMES
VILLAR THIERY AUBIN,9,81,U23 HOMMES
DU MOUZA QUENTIN,10,81,U23 HOMMES
MENISSIER CLÉMENT,11,81,U23 HOMMES
FERY FLORIAN,12,81,U23 HOMMES
VASSAL THÉOPHILE,13,81,U23 HOMMES
GARNIER MATTEO,14,81,U23 HOMMES
MASSET KERRIAN,15,81,U23 HOMMES
DUBOSQ GABIN,16,81,U23 HOMMES
BARIOT LOHAN,17,81,U23 HOMMES
CARRERE BAPTISTE,18,81,U23 HOMMES
DOS REIS GRACA NATHAN,19,81,U23 HOMMES
ROMAIN EMILIEN,20,81,U23 HOMMES
CORMERAIS MAXIME,21,81,U23 HOMMES
DUPUY JOAN,22,81,U23 HOMMES
GUILLAUME GAËL,23,81,U23 HOMMES
VERGER AMAURY,24,81,U23 HOMMES
HUBY THOMAS,25,81,U23 HOMMES
TROUILLARD ARMAND,26,81,U23 HOMMES
JULLIAN EVAN,27,81,U23 HOMMES
HENRION THOMAS,28,81,U23 HOMMES
POULY QUENTIN,29,81,U23 HOMMES
FAUVEL RONAN,30,81,U23 HOMMES
DOUGNY LUCAS,31,81,U23 HOMMES
LEVILLAIN MARTIN,32,81,U23 HOMMES
SAUZET JULES,33,81,U23 HOMMES
NICOLET FLAVIEN,34,81,U23 HOMMES
CHARRIER KYLIAN,35,81,U23 HOMMES
FERRE MATTEO,36,81,U23 HOMMES
CACAULT MATTEÏ,37,81,U23 HOMMES
BAGUET ELIOT,38,81,U23 HOMMES
GAUTHIER GABIN,39,81,U23 HOMMES
DEHAEMERS ALOÏS,40,81,U23 HOMMES
LE GOFF HUGO,41,81,U23 HOMMES
HERPIN SOHAN,42,81,U23 HOMMES
REGNAULT THIBAULT,43,81,U23 HOMMES
BOUCHEREZ ROMAIN,44,81,U23 HOMMES
DESILLES ALIX,45,81,U23 HOMMES
GANTOIS TIMEO,46,81,U23 HOMMES
CANOLLE THÉO,47,81,U23 HOMMES
THATCHER EDOUARD,48,81,U23 HOMMES
RULLIER HANS,49,81,U23 HOMMES
LOETE HIPPOLYTE,50,81,U23 HOMMES
MARTIN NAHEL,51,81,U23 HOMMES
GUERILLON ENZO,52,81,U23 HOMMES
MILLAT WILLIAM,53,81,U23 HOMMES
GUILMET RAPHAEL,54,81,U23 HOMMES
CHAMPION CORENTIN,55,81,U23 HOMMES
TARBOURIECH MATHIS,56,81,U23 HOMMES
MARTINEZ LORIS,57,81,U23 HOMMES
FOUQUET AUDRIC,58,81,U23 HOMMES
GUILLET YANIS,59,81,U23 HOMMES
APPLENCOURT RYAN,60,81,U23 HOMMES
VINSON AURÉLIEN,61,81,U23 HOMMES
RENAUD ALEXIS,62,81,U23 HOMMES
LEMAITRE ANDY,63,81,U23 HOMMES
REGOST THIBAUT,64,81,U23 HOMMES
LERAT BRAYAN,65,81,U23 HOMMES
DELPRAT LÉO,66,81,U23 HOMMES
PEDERIVA PAUL,67,81,U23 HOMMES
CHAUDERLOT PHULPIN TOM,68,81,U23 HOMMES
BALEINE KYRIO,69,81,U23 HOMMES
CERFEUILLET L.,70,81,U23 HOMMES
AMET BASILE,71,81,U23 HOMMES
ZEHLER ENZO,72,81,U23 HOMMES
LADAME ALEXIS,73,81,U23 HOMMES
FRICHET GABIN,74,81,U23 HOMMES
CHARLES LILIAN,75,81,U23 HOMMES
CAMOIN PAUL,76,81,U23 HOMMES
HOUDIN NOLAN,77,81,U23 HOMMES
PRAT MATÉO,78,81,U23 HOMMES
DOLLE GABRIEL,79,81,U23 HOMMES
CHARDON JOHAN,80,81,U23 HOMMES
FEBREAU HUGO,81,81,U23 HOMMES
BRUYERE JOUMARD SOREN,1,123,U19 HOMMES
LE BOURHIS PIERRE,2,123,U19 HOMMES
DEVOS VICTOR,3,123,U19 HOMMES
VERRIER LEO,4,123,U19 HOMMES
LOUISON TIMÉO,5,123,U19 HOMMES
BAUDOUIN FLORIAN,6,123,U19 HOMMES
CLEMENTE ANTOINE,7,123,U19 HOMMES
SUIRE MALO,8,123,U19 HOMMES
MARTINEAU AXEL,9,123,U19 HOMMES
CHAINEL CALISTE,10,123,U19 HOMMES
TARDIEU CLÉMENT,11,123,U19 HOMMES
MORINIERE LILIAN,12,123,U19 HOMMES
DURAND LOUIS,13,123,U19 HOMMES
VANAELST BATISTE,14,123,U19 HOMMES
GOUX PAUL,15,123,U19 HOMMES
RAFFO JOSEPH,16,123,U19 HOMMES
NOEL M.,17,123,U19 HOMMES
DESTOUCHES TOM,18,123,U19 HOMMES
BELLIER ADAM,19,123,U19 HOMMES
INGELAERE ANTOINE,20,123,U19 HOMMES
DETRE MAXENCE,21,123,U19 HOMMES
BABIN GABRIEL,22,123,U19 HOMMES
BOUYSSOU CLÉMENT,23,123,U19 HOMMES
FAHY AUGUSTIN,24,123,U19 HOMMES
GOBILLOT AXEL,25,123,U19 HOMMES
FERRON TIMOTE,26,123,U19 HOMMES
RAEKELBOOM NOÉ,27,123,U19 HOMMES
GENAZZINI SAM,28,123,U19 HOMMES
MARCHAND JULES,29,123,U19 HOMMES
COUGOULAT LE STUNFF NOÉ,30,123,U19 HOMMES
LEBRETON MATTIS,31,123,U19 HOMMES
BOVO BIANTO KYLIAN,32,123,U19 HOMMES
BOULLE LORIS,33,123,U19 HOMMES
GAILLARD EWEN,34,123,U19 HOMMES
BRUTIN ALBAN,35,123,U19 HOMMES
COLOTTE NYS ANTOINE,36,123,U19 HOMMES
BILLET SIMON,37,123,U19 HOMMES
THOUREAU LUCAS,38,123,U19 HOMMES
CHEMILLÉ NATHAN,39,123,U19 HOMMES
ORTEGA MARTIN THIBAULT,40,123,U19 HOMMES
ANTOINE LOUIS,41,123,U19 HOMMES
MARCHAND ANTONIN,42,123,U19 HOMMES
COCHO JULIEN,43,123,U19 HOMMES
BULTEAU LUCAS,44,123,U19 HOMMES
DUGAY CHARLIE,45,123,U19 HOMMES
GROLLET NAËL,46,123,U19 HOMMES
LOIRE HORACIO,47,123,U19 HOMMES
GILLET UGO,48,123,U19 HOMMES
ROISSE CLÉMENT,49,123,U19 HOMMES
LE FOLL TEO,50,123,U19 HOMMES
VINCENT ELOUAN,51,123,U19 HOMMES
CHESNEL THOMAS,52,123,U19 HOMMES
CHEVALIER BAILLOU PIERRE,53,123,U19 HOMMES
JESTIN NOLAN,54,123,U19 HOMMES
MONCASSIN MATEO,55,123,U19 HOMMES
DEBENNE MATIS,56,123,U19 HOMMES
ROUANET LIAM,57,123,U19 HOMMES
COURNEDE SACHA,58,123,U19 HOMMES
DHONDT CLOVIS,59,123,U19 HOMMES
NICOLAS TYLANN,60,123,U19 HOMMES
GENTER GABRIEL,61,123,U19 HOMMES
AVELINE LILIAN,62,123,U19 HOMMES
DANIEL EMERIC,63,123,U19 HOMMES
LE PALLEC MATHIS,64,123,U19 HOMMES
GILBERT ANTOINE,65,123,U19 HOMMES
CHABOT MAXENCE,66,123,U19 HOMMES
GENTY MAHE,67,123,U19 HOMMES
DELAHAIS LUCAS,68,123,U19 HOMMES
COURRIERE SAMY,69,123,U19 HOMMES
BORRUTO LÉO,70,123,U19 HOMMES
GRONDIN BAPTISTE,71,123,U19 HOMMES
GOBARD LOUIS,72,123,U19 HOMMES
REGOST LOUIS,73,123,U19 HOMMES
LE FOURNIS KENAN,74,123,U19 HOMMES
DELANGHE FLYNN,75,123,U19 HOMMES
PASQUET MATT,76,123,U19 HOMMES
TRUCHOT LANCELOT,77,123,U19 HOMMES
SAUZEAU YANN,78,123,U19 HOMMES
BESNARD ANTOINE,79,123,U19 HOMMES
THEILLOMAS MATHIS,80,123,U19 HOMMES
LUTTIAU NOE,81,123,U19 HOMMES
THATCHER HENRI,82,123,U19 HOMMES
MARY TIMOTHÉ,83,123,U19 HOMMES
MAILLARD ELIOTT,84,123,U19 HOMMES
DUCLAUT JULIAN,85,123,U19 HOMMES
COURCIER MAEL,86,123,U19 HOMMES
COUTIN VICTOR,87,123,U19 HOMMES
BARRIER PAIVA TIAGO,88,123,U19 HOMMES
BOISIVON ANAËL,89,123,U19 HOMMES
GUILMET AMAURY,90,123,U19 HOMMES
LESCANE WILLIAM,91,123,U19 HOMMES
SPARFEL BATISTE,92,123,U19 HOMMES
PERROT MATHÉO,93,123,U19 HOMMES
BOURDOU ETHAN,94,123,U19 HOMMES
OBERLE ETIENNE,95,123,U19 HOMMES
COUALAN MATTEO,96,123,U19 HOMMES
LEMOUTON NOA,97,123,U19 HOMMES
DEDON JULIAN,98,123,U19 HOMMES
GILBERT ETHAN,99,123,U19 HOMMES
BARRANGER VINET SACHA,100,123,U19 HOMMES
BROTIN HUGO,101,123,U19 HOMMES
JOUBARD MAXIME,102,123,U19 HOMMES
RIQUEMENT CLÉMENT,103,123,U19 HOMMES
CHICAULT HUGO,104,123,U19 HOMMES
SIMON MATHIS,105,123,U19 HOMMES
THEAU PACOME,106,123,U19 HOMMES
BRUNE MAEL,107,123,U19 HOMMES
COUTABLE CELESTIN,108,123,U19 HOMMES
TESSIER CLÉMENT,109,123,U19 HOMMES
BOUDIER BAPTISTE,110,123,U19 HOMMES
BEIGNEUX LOÏS,111,123,U19 HOMMES
BONNEAU YLLAN,112,123,U19 HOMMES
ANDRIEUX NINO,113,123,U19 HOMMES
MORGANTI DYLAN,114,123,U19 HOMMES
PILON MARIUS,115,123,U19 HOMMES
BORNERT ETHAN,116,123,U19 HOMMES
DUC CHARLES,117,123,U19 HOMMES
POUGET MILO,118,123,U19 HOMMES
HERGUE ENZO,119,123,U19 HOMMES
WASSER MAXIM,120,123,U19 HOMMES
DAVEAU ADRIEN,121,123,U19 HOMMES
BEDON JULES,122,123,U19 HOMMES
BESNARD AURELE,123,123,U19 HOMMES
REVOL LISE,1,36,U19 FEMMES
PICHON LALY,2,36,U19 FEMMES
ELIZALDE LUCIE,3,36,U19 FEMMES
BAUD JUSTINE,4,36,U19 FEMMES
LEBRETON ELOANE,5,36,U19 FEMMES
BASSET CAMILLE,6,36,U19 FEMMES
JURADO ROUMIEUX NOÉMIE,7,36,U19 FEMMES
LAMBERT ZÉLIE,8,36,U19 FEMMES
VAXILLAIRE NOLWENN,9,36,U19 FEMMES
MARTINET ANAÏS,10,36,U19 FEMMES
OMPRARET JUSTINE,11,36,U19 FEMMES
SERMONET JADE,12,36,U19 FEMMES
MARTINET NOÉMIE,13,36,U19 FEMMES
ROSCOE HEIDI,14,36,U19 FEMMES
BOURDON LENA,15,36,U19 FEMMES
DEWAELE NIKKI,16,36,U19 FEMMES
VILLAR THIERY FAUSTINE,17,36,U19 FEMMES
DOLLE ELISA,18,36,U19 FEMMES
DUCHEMIN ELISA,19,36,U19 FEMMES
LE CAVIL KENZA,20,36,U19 FEMMES
BUNEA FLAVIA,21,36,U19 FEMMES
AUVRAY JADE,22,36,U19 FEMMES
GRAY IRIS,23,36,U19 FEMMES
PERESSE MANON,24,36,U19 FEMMES
PRINET LOU ANNE,25,36,U19 FEMMES
KERLOC'H DAGORN ERELL,26,36,U19 FEMMES
SPARFEL ANAËLLE,27,36,U19 FEMMES
CONANEC INES,28,36,U19 FEMMES
BLANCHET ANNA,29,36,U19 FEMMES
PATTINSON ISLA,30,36,U19 FEMMES
HENRION CLAIRE,31,36,U19 FEMMES
DELAFOSSE NOËMIE,32,36,U19 FEMMES
CURY MAELYNE,33,36,U19 FEMMES
MICHEL AGATHE,34,36,U19 FEMMES
FRAGNOLI LOUANE,35,36,U19 FEMMES
GUIHARD ROSE,36,36,U19 FEMMES
