# Course FFC: albi2
# Saison: cx-25-26
# Nombre total de résultats: 339
coureur,position,nb_participants,categorie,date_course
GAILLARD EWEN,48,132,Classement Manche : U19 Homme,
LANDRIN ZEBERT JULES,49,132,Classement Manche : U19 Homme,
VINCENT ELOUAN,50,132,Classement Manche : U19 Homme,
DUCLAUT JULIAN,51,132,Classement Manche : U19 Homme,
GENTY MAHE,52,132,Classement Manche : U19 Homme,
JESTIN NOLAN,53,132,Classement Manche : U19 Homme,
GRONDIN BAPTISTE,54,132,Classement Manche : U19 Homme,
ORTEGA MARTIN THIBAULT,55,132,Classement Manche : U19 Homme,
GILLET UGO,56,132,Classement Manche : U19 Homme,
GROLLET NAËL,57,132,Classement Manche : U19 Homme,
MARY TIMOTHÉ,58,132,Classement Manche : U19 Homme,
LLORENTE PADURA MIKEL,59,132,Classement Manche : U19 Homme,
LOIRE HORACIO,60,132,Classement Manche : U19 Homme,
DHONDT CLOVIS,61,132,Classement Manche : U19 Homme,
THATCHER HENRI,62,132,Classement Manche : U19 Homme,
TESTIER MATHIS,63,132,Classement Manche : U19 Homme,
BORRUTO LÉO,64,132,Classement Manche : U19 Homme,
DEGEORGES JOSEPH,65,132,Classement Manche : U19 Homme,
COUALAN MATTEO,66,132,Classement Manche : U19 Homme,
ROISSE CLÉMENT,67,132,Classement Manche : U19 Homme,
GILBERT ANTOINE,68,132,Classement Manche : U19 Homme,
VAZE PIERRICK,69,132,Classement Manche : U19 Homme,
PASQUET MATT,70,132,Classement Manche : U19 Homme,
CALLAMAND AUGUSTIN,71,132,Classement Manche : U19 Homme,
COCHO JULIEN,72,132,Classement Manche : U19 Homme,
COLMENERO FERNANDEZ OIER,73,132,Classement Manche : U19 Homme,
RENAUT LUCIEN,74,132,Classement Manche : U19 Homme,
BORNERT ETHAN,75,132,Classement Manche : U19 Homme,
TACHOT TITOUAN,76,132,Classement Manche : U19 Homme,
CHEVALIER BAILLOU PIERRE,77,132,Classement Manche : U19 Homme,
COURCIER MAEL,78,132,Classement Manche : U19 Homme,
PAGOT SEBASTIEN,79,132,Classement Manche : U19 Homme,
GASCHET JULES,80,132,Classement Manche : U19 Homme,
MOURIER TITOUAN,81,132,Classement Manche : U19 Homme,
ROUANET LIAM,82,132,Classement Manche : U19 Homme,
COURNEDE SACHA,83,132,Classement Manche : U19 Homme,
PICARD ALBAN,84,132,Classement Manche : U19 Homme,
LE DROGO NOLANN,85,132,Classement Manche : U19 Homme,
NICOLAS TYLANN,86,132,Classement Manche : U19 Homme,
CHESNEL THOMAS,87,132,Classement Manche : U19 Homme,
DEDON JULIAN,88,132,Classement Manche : U19 Homme,
MARCHAND ANTONIN,89,132,Classement Manche : U19 Homme,
JONCOUR LOUVEAU PAUL,90,132,Classement Manche : U19 Homme,
AVELINE LILIAN,91,132,Classement Manche : U19 Homme,
CHABOT MAXENCE,92,132,Classement Manche : U19 Homme,
OBERLE ETIENNE,93,132,Classement Manche : U19 Homme,
BARRIER PAIVA TIAGO,94,132,Classement Manche : U19 Homme,
SIMON MATHIS,95,132,Classement Manche : U19 Homme,
JOUBARD MAXIME,96,132,Classement Manche : U19 Homme,
LE GOFF BAPTISTE,97,132,Classement Manche : U19 Homme,
GUILMET AMAURY,98,132,Classement Manche : U19 Homme,
DELAHAIS LUCAS,99,132,Classement Manche : U19 Homme,
TRUCHOT LANCELOT,100,132,Classement Manche : U19 Homme,
SERANT THIBAUD,101,132,Classement Manche : U19 Homme,
THEVENIN NOAH,102,132,Classement Manche : U19 Homme,
PIAU LUCAS,103,132,Classement Manche : U19 Homme,
PLAGNIOL LENY,104,132,Classement Manche : U19 Homme,
BADEL MATHIEU,105,132,Classement Manche : U19 Homme,
ALVAREZ ALBAN,106,132,Classement Manche : U19 Homme,
MAILLARD ELIOTT,107,132,Classement Manche : U19 Homme,
THEILLOMAS MATHIS,108,132,Classement Manche : U19 Homme,
GILBERT ETHAN,109,132,Classement Manche : U19 Homme,
GOBARD LOUIS,110,132,Classement Manche : U19 Homme,
DUC CHARLES,111,132,Classement Manche : U19 Homme,
CROZIER LOÏS,112,132,Classement Manche : U19 Homme,
BURIDON ROBIN,113,132,Classement Manche : U19 Homme,
ANDRIEUX NINO,114,132,Classement Manche : U19 Homme,
SEGUIN ANTONIN,115,132,Classement Manche : U19 Homme,
BESNARD ANTOINE,116,132,Classement Manche : U19 Homme,
GOLFIER MALO,117,132,Classement Manche : U19 Homme,
LUTTIAU NOE,118,132,Classement Manche : U19 Homme,
PERROT MATHÉO,119,132,Classement Manche : U19 Homme,
BROTIN HUGO,120,132,Classement Manche : U19 Homme,
COUTIN VICTOR,121,132,Classement Manche : U19 Homme,
BRIEND MARIN,122,132,Classement Manche : U19 Homme,
GOUANELLE TITOUAN,123,132,Classement Manche : U19 Homme,
RIQUEMENT CLÉMENT,124,132,Classement Manche : U19 Homme,
BRUNE MAEL,125,132,Classement Manche : U19 Homme,
BEDON JULES,126,132,Classement Manche : U19 Homme,
LE BOULANGER HUGO,127,132,Classement Manche : U19 Homme,
LAQUET JOHAKIM,128,132,Classement Manche : U19 Homme,
MORGANTI DYLAN,129,132,Classement Manche : U19 Homme,
SALVETAT GABRIEL,130,132,Classement Manche : U19 Homme,
COGÉ LOAN,131,132,Classement Manche : U19 Homme,
ROUE MAXENCE,132,132,Classement Manche : U19 Homme,
PICHON LALY,1,28,Classement Manche : U19 Femme,
BASSET CAMILLE,2,28,Classement Manche : U19 Femme,
AGUIRRE LAVIN LÉA,3,28,Classement Manche : U19 Femme,
ELIZALDE LUCIE,4,28,Classement Manche : U19 Femme,
BAUD JUSTINE,5,28,Classement Manche : U19 Femme,
JURADO ROUMIEUX NOÉMIE,6,28,Classement Manche : U19 Femme,
LEBRETON ELOANE,7,28,Classement Manche : U19 Femme,
VAXILLAIRE NOLWENN,8,28,Classement Manche : U19 Femme,
VILLAR THIERY FAUSTINE,9,28,Classement Manche : U19 Femme,
MARTINET ANAÏS,10,28,Classement Manche : U19 Femme,
DOLLE ELISA,11,28,Classement Manche : U19 Femme,
OMPRARET JUSTINE,12,28,Classement Manche : U19 Femme,
SERMONET JADE,13,28,Classement Manche : U19 Femme,
DEWAELE NIKKI,14,28,Classement Manche : U19 Femme,
BLANCHET ANNA,15,28,Classement Manche : U19 Femme,
MARTINET NOÉMIE,16,28,Classement Manche : U19 Femme,
KURAS LALIE,17,28,Classement Manche : U19 Femme,
LE CAVIL KENZA,18,28,Classement Manche : U19 Femme,
DUCHEMIN ELISA,19,28,Classement Manche : U19 Femme,
AUVRAY JADE,20,28,Classement Manche : U19 Femme,
BOURDON LENA,21,28,Classement Manche : U19 Femme,
SPARFEL ANAËLLE,22,28,Classement Manche : U19 Femme,
ROUSSEL AGATHE,23,28,Classement Manche : U19 Femme,
MAIREY AYLIN,24,28,Classement Manche : U19 Femme,
KERLOC'H DAGORN ERELL,25,28,Classement Manche : U19 Femme,
HERNAULT CYRIELLE,26,28,Classement Manche : U19 Femme,
DELAFOSSE NOËMIE,27,28,Classement Manche : U19 Femme,
CURY MAELYNE,28,28,Classement Manche : U19 Femme,
